epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,44,,,,,,0.8884999752044678,0.3118344843387604
0,44,,,0.819826066493988,,0.44145652651786804,,
1,49,,,,0.90625,,,
1,89,,,,,,0.8945000171661377,0.27429792284965515
1,89,,,0.9193478226661682,,0.232643723487854,,
2,99,,,,0.931640625,,,
2,134,,,,,,0.8945000171661377,0.27714529633522034
2,134,,,0.9383478164672852,,0.17745433747768402,,
3,149,,,,0.958984375,,,
3,179,,,,,,0.8924999833106995,0.29147058725357056
3,179,,,0.949434757232666,,0.14669586718082428,,
4,199,,,,0.953125,,,
4,224,,,,,,0.8845000267028809,0.3118428587913513
4,224,,,0.9588260650634766,,0.12473027408123016,,
5,249,,,,0.974609375,,,
5,269,,,,,,0.8855000138282776,0.33515530824661255
5,269,,,0.9676522016525269,,0.10277772694826126,,
6,299,,,,0.9765625,,,
6,314,,,,,,0.8769999742507935,0.37093955278396606
6,314,,,0.9726086854934692,,0.08734573423862457,,
7,349,,,,0.98828125,,,
7,359,,,,,,0.8820000290870667,0.3784198462963104
7,359,,,0.9759564995765686,,0.07785677909851074,,
8,399,,,,0.986328125,,,
8,404,,,,,,0.8805000185966492,0.4070313274860382
8,404,,,0.9854782819747925,,0.05967923253774643,,
9,449,,,,0.9788135886192322,,,
9,449,,,,,,0.8765000104904175,0.44157490134239197
9,449,,,0.9888260960578918,,0.04901010915637016,,
10,494,,,,,,0.8495000004768372,0.6085264682769775
10,494,,,0.9897391200065613,,0.04393944516777992,,
11,499,,,,0.9921875,,,
11,539,,,,,,0.8694999814033508,0.5037228465080261
11,539,,,0.9913913011550903,,0.038426950573921204,,
12,549,,,,0.99609375,,,
12,584,,,,,,0.8705000281333923,0.5348676443099976
12,584,,,0.9963043332099915,,0.025559723377227783,,
13,599,,,,0.998046875,,,
13,629,,,,,,0.871999979019165,0.5646553635597229
13,629,,,0.9971739053726196,,0.02045646496117115,,
14,649,,,,1.0,,,
14,674,,,,,,0.8705000281333923,0.610579788684845
14,674,,,0.9980434775352478,,0.01649191603064537,,
15,699,,,,1.0,,,
15,719,,,,,,0.8700000047683716,0.6079228520393372
15,719,,,0.9889130592346191,,0.04820823669433594,,
16,749,,,,1.0,,,
16,764,,,,,,0.8705000281333923,0.6353654265403748
16,764,,,0.998913049697876,,0.012083389796316624,,
17,799,,,,1.0,,,
17,809,,,,,,0.8700000047683716,0.6526783108711243
17,809,,,0.9993043541908264,,0.009380713105201721,,
18,849,,,,0.998046875,,,
18,854,,,,,,0.8690000176429749,0.6736994385719299
18,854,,,0.9993913173675537,,0.007849172689020634,,
19,899,,,,1.0,,,
19,899,,,,,,0.8684999942779541,0.6949856281280518
19,899,,,0.9996086955070496,,0.006670763250440359,,
20,944,,,,,,0.8690000176429749,0.721016526222229
20,944,,,0.9996086955070496,,0.005563108250498772,,
21,949,,,,0.998046875,,,
21,989,,,,,,0.8675000071525574,0.745785117149353
21,989,,,0.9997391104698181,,0.004523239564150572,,
22,999,,,,1.0,,,
22,1034,,,,,,0.8659999966621399,0.7766825556755066
22,1034,,,0.9998260736465454,,0.003691272810101509,,
23,1049,,,,1.0,,,
23,1079,,,,,,0.8659999966621399,0.8061123490333557
23,1079,,,0.9998260736465454,,0.002960060490295291,,
24,1099,,,,1.0,,,
24,1124,,,,,,0.8629999756813049,0.841791033744812
24,1124,,,0.9998695850372314,,0.0022249871399253607,,
25,1149,,,,1.0,,,
25,1169,,,,,,0.8634999990463257,0.8741883039474487
25,1169,,,0.9999565482139587,,0.0016762199811637402,,
26,1199,,,,1.0,,,
26,1214,,,,,,0.8640000224113464,0.9120357036590576
26,1214,,,0.9999565482139587,,0.0013078086776658893,,
27,1249,,,,1.0,,,
27,1259,,,,,,0.8629999756813049,0.9529369473457336
27,1259,,,0.9999565482139587,,0.0010248778853565454,,
28,1299,,,,1.0,,,
28,1304,,,,,,0.8610000014305115,0.9939266443252563
28,1304,,,0.9999565482139587,,0.0007918571936897933,,
29,1349,,,,1.0,,,
29,1349,,,,,,0.862500011920929,1.030836582183838
29,1349,,,0.9999565482139587,,0.0006097708246670663,,
30,1350,0.8501200079917908,1.086783766746521,,,,,
